Store ID,Product ID,Current_Inventory,Reorder_Point,Needs_Reorder
S002,P0007,53,250.39276047996813,True
S004,P0015,56,245.9088338488384,True
S005,P0007,59,250.31473099140277,True
S002,P0009,62,256.57483337449656,True
S004,P0019,65,247.09633309033399,True
S001,P0003,69,248.65171761815742,True
S001,P0016,74,240.47189882675173,True
S004,P0018,83,232.33919759266203,True
S004,P0012,85,235.7342830476481,True
S005,P0016,96,250.8666751879653,True
S005,P0003,98,256.4770750573755,True
S004,P0017,100,243.22656508537597,True
S003,P0008,103,243.6354761131014,True
S004,P0004,105,238.18942300824529,True
S003,P0007,108,249.58951886017798,True
S003,P0012,108,249.43080463545567,True
S003,P0003,112,229.52267500138547,True
S004,P0013,113,236.23000763124617,True
S004,P0009,115,247.10471964092375,True
S005,P0020,117,249.8137664270922,True
S002,P0004,133,247.07329746817146,True
S004,P0007,134,236.21888250171708,True
S003,P0011,137,247.32683121333457,True
S003,P0001,138,235.79641868360105,True
S001,P0019,149,244.27713043081118,True
S002,P0018,151,251.6802595623305,True
S004,P0011,155,246.36184436756338,True
S005,P0011,156,244.0680771390755,True
S002,P0011,156,244.31904672132532,True
S005,P0004,158,246.98850798999018,True
S002,P0006,160,238.31173833070764,True
S003,P0016,166,253.43467433494985,True
S001,P0009,167,238.52319104217457,True
S001,P0010,167,238.27751995039176,True
S004,P0002,181,233.89304602058326,True
S001,P0018,191,247.91380239733718,True
S002,P0012,193,252.0354583736592,True
S001,P0012,213,230.63152125378093,True
S001,P0002,217,235.35152359347444,True
S004,P0005,217,244.30488804790855,True
S002,P0008,218,235.74860909211242,True
S001,P0001,223,245.49428848669942,True
S003,P0014,230,256.91971866609015,True
S002,P0017,236,238.77380462071204,True
S003,P0017,239,250.82101146318143,True
S001,P0020,242,249.60938188290282,True
S003,P0019,253,254.18756299490215,True
